Mangled Symbol, Demangled Symbol, Is Matched
_ZN2al9HitSensor13trySensorSortEv,al::HitSensor::trySensorSort(void),false
_ZN2al9HitSensor15setFollowPosPtrEPKN4sead7Vector3IfEE,al::HitSensor::setFollowPosPtr(sead::Vector3<float> const*),false
_ZN2al9HitSensor15setFollowMtxPtrEPKN4sead8Matrix34IfEE,al::HitSensor::setFollowMtxPtr(sead::Matrix34<float> const*),false
_ZN2al9HitSensor8validateEv,al::HitSensor::validate(void),true
_ZN2al9HitSensor10invalidateEv,al::HitSensor::invalidate(void),false
_ZN2al9HitSensor16validateBySystemEv,al::HitSensor::validateBySystem(void),true
_ZN2al9HitSensor18invalidateBySystemEv,al::HitSensor::invalidateBySystem(void),false
_ZN2al9HitSensorC2EPNS_9LiveActorEPKcjftPKN4sead7Vector3IfEEPKNS5_8Matrix34IfEERS8_,"al::HitSensor::HitSensor(al::LiveActor *,char const*,unsigned int,float,unsigned short,sead::Vector3<float> const*,sead::Matrix34<float> const*,sead::Vector3<float> const&)",false
_ZN2al9HitSensor6updateEv,al::HitSensor::update(void),false
_ZN2al9HitSensor12addHitSensorEPS0_,al::HitSensor::addHitSensor(al::HitSensor*),false
_ZNSt3__16__sortIRN2al17SensorSortCmpFuncEPPNS1_9HitSensorEEEvT0_S7_T_,"void std::__1::__sort<al::SensorSortCmpFunc &,al::HitSensor **>(al::HitSensor **,al::HitSensor **,al::SensorSortCmpFunc &)",false
_ZNSt3__17__sort3IRN2al17SensorSortCmpFuncEPPNS1_9HitSensorEEEjT0_S7_S7_T_,"unsigned int std::__1::__sort3<al::SensorSortCmpFunc &,al::HitSensor **>(al::HitSensor **,al::HitSensor **,al::HitSensor **,al::SensorSortCmpFunc &)",false
_ZNSt3__17__sort5IRN2al17SensorSortCmpFuncEPPNS1_9HitSensorEEEjT0_S7_S7_S7_S7_T_,"unsigned int std::__1::__sort5<al::SensorSortCmpFunc &,al::HitSensor **>(al::HitSensor **,al::HitSensor **,al::HitSensor **,al::HitSensor **,al::HitSensor **,al::SensorSortCmpFunc &)",false
_ZNSt3__127__insertion_sort_incompleteIRN2al17SensorSortCmpFuncEPPNS1_9HitSensorEEEbT0_S7_T_,"bool std::__1::__insertion_sort_incomplete<al::SensorSortCmpFunc &,al::HitSensor **>(al::HitSensor **,al::HitSensor **,al::SensorSortCmpFunc &)",false
